                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75021,                0.54651,                 1.1444,                0.96838,                0.95939,                  0.991,                0.80294,                0.69606,                0.37975,                 1.1567,              0.0017756,              0.0017756,              0.0017756
                     36,                0.74175,                0.54481,                 1.1451,                0.95693,                0.95868,                0.98691,                 0.7935,                0.73069,                0.41871,                 1.1715,               0.001769,               0.001769,               0.001769
                     37,                0.72368,                0.53782,                 1.1301,                0.97162,                0.96193,                0.98316,                0.80769,                0.66455,                0.37938,                  1.122,              0.0017624,              0.0017624,              0.0017624
                     38,                0.73707,                0.53461,                 1.1371,                0.97209,                0.97252,                0.99059,                0.81448,                0.69722,                 0.4002,                  1.148,              0.0017558,              0.0017558,              0.0017558
                     39,                 0.7221,                0.53396,                 1.1273,                0.95895,                0.94873,                0.98226,                0.79815,                0.71891,                  0.398,                 1.1655,              0.0017492,              0.0017492,              0.0017492
                     40,                0.72019,                0.52275,                 1.1347,                0.97707,                0.97357,                0.99149,                0.82061,                0.68075,                0.37134,                 1.1075,              0.0017426,              0.0017426,              0.0017426
                     41,                0.70459,                0.51845,                 1.1157,                0.93762,                0.95178,                 0.9757,                0.79098,                0.70717,                0.42952,                 1.1594,               0.001736,               0.001736,               0.001736
                     42,                0.71516,                0.51107,                 1.1154,                0.96257,                 0.9797,                0.99014,                0.81421,                0.65731,                0.37543,                 1.1061,              0.0017294,              0.0017294,              0.0017294
                     43,                0.69495,                0.50527,                  1.101,                0.96433,                0.94924,                0.97914,                0.80919,                0.68534,                0.38558,                 1.1199,              0.0017228,              0.0017228,              0.0017228
                     44,                0.69413,                0.49714,                 1.1036,                0.95219,                0.96053,                0.97967,                0.80032,                0.70047,                0.41905,                 1.1404,              0.0017162,              0.0017162,              0.0017162
                     45,                0.68654,                0.49333,                 1.1127,                0.96523,                0.97462,                0.99066,                0.81432,                0.68837,                 0.3683,                 1.1202,              0.0017096,              0.0017096,              0.0017096
                     46,                0.68328,                 0.4916,                 1.1029,                0.95276,                0.97261,                0.98729,                0.78886,                0.71574,                0.38728,                 1.1368,               0.001703,               0.001703,               0.001703
                     47,                0.68174,                0.49034,                  1.097,                0.95274,                0.97207,                0.98001,                0.80031,                  0.694,                0.39335,                 1.1308,              0.0016964,              0.0016964,              0.0016964
                     48,                0.67093,                0.48327,                 1.0958,                 0.9623,                0.96701,                0.98742,                0.81528,                0.66924,                  0.383,                 1.1264,              0.0016898,              0.0016898,              0.0016898
                     49,                0.66329,                0.47739,                 1.0845,                0.96503,                0.98058,                0.98673,                0.80931,                0.64172,                0.34353,                 1.0975,              0.0016832,              0.0016832,              0.0016832
                     50,                0.64388,                0.46697,                 1.0749,                0.97459,                0.97357,                0.99142,                0.81593,                 0.6661,                 0.3701,                  1.129,              0.0016766,              0.0016766,              0.0016766
                     51,                0.64859,                0.46676,                 1.0839,                0.99173,                0.97208,                0.99064,                0.82882,                 0.6469,                 0.3372,                 1.0952,                0.00167,                0.00167,                0.00167
                     52,                0.63764,                0.46373,                 1.0821,                0.97197,                0.96817,                0.98883,                0.80832,                0.70031,                 0.3894,                 1.1575,              0.0016634,              0.0016634,              0.0016634
                     53,                 0.6497,                0.46892,                 1.0811,                0.95609,                0.97716,                0.98609,                0.82109,                0.65892,                0.37973,                 1.1001,              0.0016568,              0.0016568,              0.0016568
                     54,                0.63514,                 0.4661,                 1.0718,                0.96663,                0.95565,                0.98266,                0.81581,                0.65193,                0.35825,                  1.128,              0.0016502,              0.0016502,              0.0016502
                     55,                 0.6319,                0.46027,                 1.0669,                0.97846,                 0.9797,                 0.9919,                0.81557,                0.69258,                0.36455,                 1.1318,              0.0016436,              0.0016436,              0.0016436
                     56,                0.62153,                 0.4512,                 1.0557,                0.97665,                0.96954,                  0.991,                0.82548,                0.65451,                0.33217,                 1.1065,               0.001637,               0.001637,               0.001637
                     57,                0.62126,                0.44403,                 1.0551,                0.96855,                0.96701,                0.98935,                0.81957,                0.64862,                 0.3496,                 1.0902,              0.0016304,              0.0016304,              0.0016304
                     58,                0.62869,                0.45064,                 1.0772,                0.96661,                0.97208,                0.98269,                0.81205,                0.66365,                0.35066,                 1.1205,              0.0016238,              0.0016238,              0.0016238
                     59,                0.62316,                0.45274,                  1.061,                0.98284,                0.97716,                0.99147,                0.82654,                0.66705,                0.34591,                  1.122,              0.0016172,              0.0016172,              0.0016172
                     60,                 0.6216,                0.44861,                 1.0651,                0.97719,                0.97841,                0.99104,                0.82975,                0.66508,                0.33757,                 1.1294,              0.0016106,              0.0016106,              0.0016106
                     61,                0.61631,                0.44053,                 1.0726,                0.96934,                0.96283,                0.98931,                0.80643,                0.71454,                0.37031,                 1.1655,               0.001604,               0.001604,               0.001604
                     62,                0.62884,                0.46097,                 1.0677,                0.97677,                0.96039,                0.99041,                0.82577,                 0.6628,                0.34736,                 1.1129,              0.0015974,              0.0015974,              0.0015974
                     63,                0.59732,                0.44173,                  1.054,                0.97175,                0.95178,                0.98444,                0.81278,                0.65593,                0.34567,                 1.1307,              0.0015908,              0.0015908,              0.0015908
                     64,                0.59161,                0.43074,                 1.0545,                0.97412,                0.96193,                0.99187,                0.82071,                0.66725,                0.34551,                 1.1334,              0.0015842,              0.0015842,              0.0015842
                     65,                0.58773,                0.42657,                 1.0448,                0.97714,                0.97644,                0.99148,                0.81983,                 0.6591,                0.33129,                 1.1243,              0.0015776,              0.0015776,              0.0015776
                     66,                0.58797,                0.44063,                 1.0498,                0.97964,                0.97715,                0.99324,                0.82592,                 0.6329,                 0.3284,                 1.1046,               0.001571,               0.001571,               0.001571
                     67,                0.58479,                0.43167,                 1.0445,                0.98052,                0.96954,                0.98981,                0.82707,                0.63902,                0.33989,                 1.1181,              0.0015644,              0.0015644,              0.0015644
                     68,                0.59996,                0.44566,                 1.0537,                0.97209,                 0.9724,                0.99171,                0.82046,                 0.6756,                0.33927,                 1.1328,              0.0015578,              0.0015578,              0.0015578
                     69,                0.58579,                0.42897,                 1.0505,                0.96618,                0.97462,                0.98899,                0.82211,                0.65501,                0.34179,                 1.1326,              0.0015512,              0.0015512,              0.0015512
                     70,                0.56856,                0.41627,                 1.0401,                0.97164,                 0.9797,                0.98966,                0.81651,                0.68039,                0.33379,                 1.1681,              0.0015446,              0.0015446,              0.0015446
                     71,                0.57395,                0.41949,                 1.0476,                0.97718,                0.97832,                0.98962,                0.83466,                0.62611,                0.31955,                 1.0833,               0.001538,               0.001538,               0.001538
                     72,                0.57091,                0.41167,                 1.0377,                0.96454,                0.97716,                0.98886,                0.83775,                0.61882,                0.32555,                 1.0634,              0.0015314,              0.0015314,              0.0015314
                     73,                0.55988,                0.39872,                 1.0293,                0.97641,                0.96193,                0.98922,                  0.829,                0.66889,                0.33239,                  1.145,              0.0015248,              0.0015248,              0.0015248
                     74,                0.56473,                  0.409,                 1.0321,                0.96248,                 0.9766,                0.98826,                 0.8198,                0.66805,                0.33246,                 1.1173,              0.0015182,              0.0015182,              0.0015182
                     75,                0.56707,                0.40329,                 1.0338,                0.97628,                0.96447,                0.98454,                0.82858,                0.64977,                0.35237,                 1.1314,              0.0015116,              0.0015116,              0.0015116
                     76,                0.56039,                0.40648,                 1.0348,                0.97193,                0.96661,                0.98411,                0.83322,                0.66053,                0.33276,                 1.1248,               0.001505,               0.001505,               0.001505
                     77,                0.55299,                0.40016,                 1.0261,                 0.9822,                0.98021,                0.99057,                0.82916,                0.66202,                0.33537,                 1.1146,              0.0014984,              0.0014984,              0.0014984
                     78,                0.55491,                0.39986,                 1.0299,                0.98205,                0.97197,                0.98868,                 0.8389,                0.64611,                0.31185,                 1.1095,              0.0014918,              0.0014918,              0.0014918
                     79,                0.54332,                 0.3895,                 1.0202,                0.97791,                 0.9797,                0.99133,                0.82697,                0.64558,                0.32707,                  1.111,              0.0014852,              0.0014852,              0.0014852
                     80,                0.54127,                0.39075,                 1.0146,                0.97732,                0.98418,                0.99238,                0.82852,                0.64749,                0.32309,                  1.122,              0.0014786,              0.0014786,              0.0014786
                     81,                 0.5458,                0.39405,                 1.0267,                0.98424,                0.97208,                0.98979,                0.81758,                 0.6537,                0.33614,                 1.0931,               0.001472,               0.001472,               0.001472
                     82,                0.54018,                0.39739,                  1.015,                0.98584,                0.96701,                0.99065,                0.82346,                0.65685,                0.32615,                 1.1165,              0.0014654,              0.0014654,              0.0014654
                     83,                0.53359,                0.38703,                 1.0106,                0.98409,                0.98223,                0.99076,                0.83825,                0.63314,                0.30519,                 1.0929,              0.0014588,              0.0014588,              0.0014588
                     84,                0.52888,                0.38483,                  1.013,                0.98701,                0.96436,                0.99176,                0.84006,                0.63292,                0.32474,                 1.1012,              0.0014522,              0.0014522,              0.0014522
                     85,                0.52721,                0.37654,                 1.0125,                0.96154,                0.98477,                 0.9918,                0.82728,                0.64855,                0.31939,                 1.1311,              0.0014456,              0.0014456,              0.0014456
                     86,                0.52335,                0.37316,                 1.0019,                0.96984,                0.97927,                0.99105,                0.82255,                0.66672,                0.31809,                 1.1294,               0.001439,               0.001439,               0.001439
                     87,                 0.5326,                0.38903,                  1.015,                0.97461,                0.97406,                0.99159,                0.82144,                0.65062,                0.31711,                 1.1175,              0.0014324,              0.0014324,              0.0014324
                     88,                0.52826,                0.38178,                  1.012,                0.97768,                0.95685,                0.98683,                0.81776,                0.65271,                0.31931,                  1.131,              0.0014258,              0.0014258,              0.0014258
